Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1uF","0805",102.870000,-99.060000,90.000000,top
"C2","10uF","CASE-A_3216",87.630000,-99.060000,-90.000000,top
"D1","LED","0805",102.870000,-86.360000,90.000000,top
"D2","LED","0805",99.695000,-86.360000,90.000000,top
"D3","LED","0805",96.520000,-86.360000,90.000000,top
"D4","LED","0805",93.345000,-86.360000,90.000000,top
"D5","LED","0805",90.170000,-86.360000,90.000000,top
"D6","LED","0805",87.630000,-86.360000,90.000000,top
"R1","2.2K","0805",102.870000,-90.805000,90.000000,top
"R2","2.2K","0805",99.695000,-90.805000,90.000000,top
"R3","2.2K","0805",96.520000,-90.805000,90.000000,top
"R4","2.2K","0805",93.345000,-90.805000,90.000000,top
"R5","2.2K","0805",90.170000,-90.805000,90.000000,top
"R6","2.2K","0805",87.630000,-90.805000,90.000000,top
"U1","7404","SOP-14",95.250000,-99.060000,180.000000,top
